2023-04-13 19:04:137 INFO  JamesAndJames :63 - I click On WhoWeAre
2023-04-13 19:04:871 INFO  JamesAndJames :70 - I verify Text[[ChromeDriver: chrome on WINDOWS (84da197be5e9a81224dfed46aac40705)] -> xpath: //span[contains(text(),'Our story')]]
2023-04-13 19:04:169 INFO  JamesAndJames :77 - I click speak to an expert[[ChromeDriver: chrome on WINDOWS (84da197be5e9a81224dfed46aac40705)] -> link text: Speak to an expert]
2023-04-13 19:04:868 INFO  JamesAndJames :63 - I click On WhoWeAre
2023-04-13 19:04:522 INFO  JamesAndJames :70 - I verify Text[[ChromeDriver: chrome on WINDOWS (e0e8fb0ed340d7e06aa0583add37cfb3)] -> xpath: //span[contains(text(),'Our story')]]
2023-04-13 19:04:784 INFO  JamesAndJames :77 - I click speak to an expert[[ChromeDriver: chrome on WINDOWS (e0e8fb0ed340d7e06aa0583add37cfb3)] -> link text: Speak to an expert]
2023-04-13 19:04:595 INFO  JamesAndJames :63 - I click On WhoWeAre
2023-04-13 19:04:900 INFO  JamesAndJames :70 - I verify Text[[ChromeDriver: chrome on WINDOWS (95ebc4994fa89140605b80b9ecff1afe)] -> xpath: //span[contains(text(),'Our story')]]
2023-04-13 19:04:974 INFO  JamesAndJames :77 - I click speak to an expert[[ChromeDriver: chrome on WINDOWS (95ebc4994fa89140605b80b9ecff1afe)] -> link text: Speak to an expert]
2023-04-13 19:04:821 INFO  JamesAndJames :83 - I enter first name [[ChromeDriver: chrome on WINDOWS (95ebc4994fa89140605b80b9ecff1afe)] -> xpath: //*[@id="4545906690"]]
2023-04-13 19:04:988 INFO  JamesAndJames :89 - I enter Last name [[ChromeDriver: chrome on WINDOWS (95ebc4994fa89140605b80b9ecff1afe)] -> tag name: body]
2023-04-13 19:04:824 INFO  JamesAndJames :63 - I click On WhoWeAre
2023-04-13 19:04:769 INFO  JamesAndJames :70 - I verify Text[[ChromeDriver: chrome on WINDOWS (11db4246b0da246d1f5d970bcf3b995e)] -> xpath: //span[contains(text(),'Our story')]]
2023-04-13 19:04:290 INFO  JamesAndJames :77 - I click speak to an expert[[ChromeDriver: chrome on WINDOWS (11db4246b0da246d1f5d970bcf3b995e)] -> link text: Speak to an expert]
2023-04-13 19:04:474 INFO  JamesAndJames :83 - I enter first name [[ChromeDriver: chrome on WINDOWS (11db4246b0da246d1f5d970bcf3b995e)] -> xpath: //*[@id="4545906690"]]
2023-04-13 19:04:630 INFO  JamesAndJames :63 - I click On WhoWeAre
2023-04-13 19:04:632 INFO  JamesAndJames :70 - I verify Text[[ChromeDriver: chrome on WINDOWS (bca044e8e856a46c25d320644dc03d7b)] -> xpath: //span[contains(text(),'Our story')]]
2023-04-13 19:04:750 INFO  JamesAndJames :77 - I click speak to an expert[[ChromeDriver: chrome on WINDOWS (bca044e8e856a46c25d320644dc03d7b)] -> link text: Speak to an expert]
2023-04-13 19:04:80 INFO  JamesAndJames :83 - I enter first name [[ChromeDriver: chrome on WINDOWS (bca044e8e856a46c25d320644dc03d7b)] -> xpath: //*[@id="4545906690"]]
2023-04-13 19:04:395 INFO  JamesAndJames :63 - I click On WhoWeAre
2023-04-13 19:04:525 INFO  JamesAndJames :70 - I verify Text[[ChromeDriver: chrome on WINDOWS (886d13382fad5fb349f9e68f3f21c48b)] -> xpath: //span[contains(text(),'Our story')]]
2023-04-13 19:04:596 INFO  JamesAndJames :77 - I click speak to an expert[[ChromeDriver: chrome on WINDOWS (886d13382fad5fb349f9e68f3f21c48b)] -> link text: Speak to an expert]
2023-04-13 19:04:758 INFO  JamesAndJames :83 - I enter first name [[ChromeDriver: chrome on WINDOWS (886d13382fad5fb349f9e68f3f21c48b)] -> xpath: //*[@id="4545906690"]]
2023-04-13 19:04:515 INFO  JamesAndJames :89 - I enter Last name [[ChromeDriver: chrome on WINDOWS (886d13382fad5fb349f9e68f3f21c48b)] -> xpath: //*[@id="4545907714"]]
2023-04-13 19:04:674 INFO  JamesAndJames :63 - I click On WhoWeAre
2023-04-13 19:04:933 INFO  JamesAndJames :70 - I verify Text[[ChromeDriver: chrome on WINDOWS (5345eff60451caa70722fc86ab3a6d06)] -> xpath: //span[contains(text(),'Our story')]]
2023-04-13 19:04:995 INFO  JamesAndJames :77 - I click speak to an expert[[ChromeDriver: chrome on WINDOWS (5345eff60451caa70722fc86ab3a6d06)] -> link text: Speak to an expert]
2023-04-13 19:04:194 INFO  JamesAndJames :83 - I enter first name [[ChromeDriver: chrome on WINDOWS (5345eff60451caa70722fc86ab3a6d06)] -> xpath: //*[@id="4545906690"]]
2023-04-13 19:04:305 INFO  JamesAndJames :88 - I enter Last name [[ChromeDriver: chrome on WINDOWS (5345eff60451caa70722fc86ab3a6d06)] -> xpath: //*[@id="4545907714"]]
2023-04-13 19:04:448 INFO  JamesAndJames :93 - I enter Last name [[ChromeDriver: chrome on WINDOWS (5345eff60451caa70722fc86ab3a6d06)] -> xpath: //*[@id="4545910786"]]
2023-04-13 19:04:586 INFO  JamesAndJames :63 - I click On WhoWeAre
